3,count
5158,2051
5156,2020
4658,1195
4656,950
5154,601
4690,288
4624,243
4672,225
4702,142
4663,78
4799,71
6,48
4688,44
5379,32
4798,31
5152,24
10016,23
10001,21
10000,21
4648,18
1003,16
1042,13
1040,13
11707,13
1033,13
5142,12
6000,12
8198,8
5059,8
18,8
5061,8
105,8
5058,8
20,8
32,8
98,8
55,8
16394,8
16384,7
900,6
5157,6
16,6
1,6
7040,5
4657,5
108,4
4696,4
104,4
4826,4
1532,4
1100,4
6006,4
51057,4
50104,4
272,4
1074,4
4647,4
1796,4
5615,4
6003,4
7001,4
5033,4
1531,4
4625,4
109,4
50105,4
50037,4
50106,4
6009,4
4902,4
4608,4
6005,4
6013,4
7002,4
260,4
51047,4
14,4
48,4
28,4
16962,4
12,4
27,4
25,4
238,4
153,4
3,4
172,4
24,4
13,4
4797,4
1066,4
326,4
258,4
271,4
781,4
4660,4
51046,4
16977,4
50103,4
50036,4
16983,4
5024,4
5617,4
7026,4
102,4
4634,4
4202,4
903,4
902,4
15,3
8224,2
4111,2
0,2
1001,1
7045,1
4698,1
4732,1
1102,1
EventId,1
9027,1
1503,1
